,dates,postcode,street,title,Year
161,Sunday 26th May 2019,SE15 3UA,Strakers Road,"
Gala Festival ",2017
162,28th May 2017,SE1 1TL,Southwark Street,"
London Pizza Festival ",2017
163,18th July to 24th August 2019,NW1 8EH,Chalk Farm Road,"
Barber Shop Chronicles ",2017
164,30th May - 12th July 2017,SE1 8XZ,South Bank,"
Common ",2017
165,30th May - 03rd June 2017,SW1Y 4HT,Haymarket,"
Sand in the Sandwiches ",2017
166,30th May - 30th July 2017,WC2H 7JB,6-7 Great Newport Street,"
The Greaty Gatsby ",2017
167,31st May - 03rd June 2017,EC1R 4TN,Rosebery Avenue,"
Akram Khan: Desh ",2017
168,27th - 29th July 2018,SE1 8XX,Belvedere Road,"
Chorus ",2017
169,01st July 2017,W2 2UH,Rangers Lodge,"
British Summer Time 2017: Green Day ",2017
170,01st July 2017,N4 1EE,Endymion Road,"
Community Festival ",2017
171,01st - 02nd July 2017,SE10 9LW,King William Walk,"
Cliff Richard ",2017
172,1st to 7th Jul 2019,SE10 9LW,King William Walk,"
Greenwich Music Time ",2017
173,01st July 2017,E1 7QX,77-82 Whitechapel High Street,"
Art Night ",2017
174,01st - 16th July 2017,WC2N 5DW,London,"
Shubbak Festival ",2017
175,02nd July 2017,W2 2UH,Rangers Lodge,"
British Summer Time 2017: Justin Bieber ",2017
176,02nd July 2017,WC2N 5DS,Central London,"
Eid Festival ",2017
177,7th to 28th July 2019,W1B 5SJ,Regent Street,"
Summer Streets ",2017
178,1st to 14th July 2019,SW19 5AE,Church Road,"
Wimbledon Lawn Tennis Championship 2017 ",2017
179,"8th, 9th, 10th and 11th Jul 2019",W2 2UH,Rangers Lodge,"
British Summer Time: Open House ",2017
180,03rd - 09th July 2017,N4 3JP,11 Clifton Terrace,"
Ian McKellen: Shakespeare, Tolkien, Others & You ",2017
181,1st to 7th Jul 2019,KT8 9AU,"East Molesey, Surrey","
RHS Hampton Court Palace Flower Show ",2017
182,05th - 16th July 2017,WC2E 9DD,Bow Street,"
Royal Opera: Turandot ",2017
183,05th July 2017,SE24 0PA,"Lido Park Gardens, Brockwell Park","
Luna Cinema: Brockwell Lido: Jaws ",2017
184,05th - 08th July 2017,N1 0QH,52 Upper Street,"
New Designers Exhibition Part Two ",2017
185,06th July - 01st October 2017,SE1 7JY,Lambeth Palace Road,"
Zip World London ",2017
186,06th July 2017,W2 2UH,Rangers Lodge,"
British Summer Time 2017: Kings of Leon ",2017
187,11th to 21st July 2019,WC2R 1LA,Strand,"
Somerset House Summer Series ",2017
188,06th July - 26th August 2017,W1D 3NE,21 Dean Street,"
Touch ",2017
189,07th July 2017,SE10 9LW,King William Walk,"
Little Mix ",2017
190,07th - 09th July 2017,SE3 0UA,Shooters Hill Road,"
Foodies Festival, Blackheath ",2017
191,"5th, 6th and 7th July 2019",N4 1EE,Endymion Road,"
Wireless Festival ",2017
192,07th July - 05th August 2017,NW1 4NR,"Inner Circle, Regent's Park","
A Tale Of Two Cities ",2017
193,08th July 2017,W2 2UH,Rangers Lodge,"
British Summer Time 2017: The Killers ",2017
194,Saturday 6th July 2019,WC2N 5DS,Central London,"
Pride in London Parade ",2017
195,09th July 2017,W2 2UH,Rangers Lodge,"
British Summer Time 2017: Tom Petty and The Heartbreakers ",2017
196,16th September 2018,N1C 4AA,Good's Way,"
Vauxhall Art Car Boot Fair ",2017
197,10th - 15th July 2018,TW9 3AB,"Kew, Richmond","
Kew the Music ",2017
198,12th July - 22nd October 2017,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
Soul of a Nation: Art in the Age of Black Power ",2017
199,13th July - 07th October 2017,W1D 7EZ,29 Shaftesbury Avenue,"
Cat On A Hot Tin Roof ",2017
200,14th July - 28th February 2018,SW7 5BD,Cromwell Road,"
Whales: Beneath the surface ",2017
201,14th July - 15th October 2017,SE1 9DT,"21 New Globe Walk, Bankside","
Much Ado About Nothing ",2017
202,19th July to 14th September 2019,SW7 2AP,Kensington Gore,"
The BBC Proms ",2017
203,Friday 12th and Saturday 13th July 2019,W3 8LQ,Popes Lane,"
Lovebox ",2017
204,14th July - 02nd January 2018,EC2Y 5HN,150 London Wall,"
The City Is Ours ",2017
205,14th - 16th July 2017,E1W 2SF,50 Porters Walk,"
Hyper Japan ",2017
206,14th July 2018,WC1B 5BL,Bedford Square,"
The Chap Olympiad ",2017
207,15th July - 28th August 2017,NW1 8EH,Chalk Farm Road,"
Camden Beach ",2017
208,15th July - 12th November 2017,SW7 2RL,Cromwell Road,"
Plywood: Material Of The Modern World ",2017
209,21st - 22nd July 2018,SE24 0PA,Norwood Road,"
Lambeth Country Show ",2017
210,14th - 15th July 2018,SW19 5AE,Church Road,"
Wimbledon Finals Weekend ",2017
211,15th July 2018,W3 8LQ,Popes Lane,"
Citadel Festival ",2017
212,17th July - 05th August 2017,NW1 4NR,"Inner Circle, Regent's Park","
Oliver Twist ",2017
213,18th July - 28th September 2017,SE1 9PX,South Bank,"
Mosquitoes ",2017
214,19th - 21st July 2017,NW1 4AQ,1 Marylebone Road,"
The San Miguel Experience ",2017
215,20th - 22nd July 2018,SW6 6SX,Bishop's Avenue,"
Pop Up Screens, Bishop's Park ",2017
216,21st - 22nd July 2017,N1C 4AA,Good's Way,"
KERB's Guiltiest Pleasures ",2017
217,22nd July - 01st October 2017,SW1A 1AA,Buckingham Palace Road,"
Royal Gifts ",2017
218,22nd - 23rd July 2017,W5 5BQ,Mattock Lane,"
Ealing Blues Festival ",2017
219,20th July to 29th September 2019,SW1A 1AA,Buckingham Palace Road,"
Summer Opening of the State Rooms at Buckingham Palace ",2017
220,22nd July - 25th February 2018,E2 9PA,Cambridge Heath Road,"
Michael Morpurgo: A Lifetime in Stories ",2017
221,24th - 29th July 2017,W12 8LJ,7 Uxbridge Road,"
Nassim ",2017
222,26th July - 03rd September 2017,WC2H 0HH,2 Charing Cross Road,"
Gangsta Granny ",2017
223,27th July 2017,SE24 0PA,"Lido Park Gardens, Brockwell Park","
Luna Cinema: Brockwell Lido: The Graduate ",2017
224,Saturday 3rd and Sunday 4th August 2019,SW1A 2BJ,Horse Guards Road,"
Prudential RideLondon ",2017
225,03rd - 04th August 2018,E1 6DW,1 Crispin Place,"
Street Eats ",2017
226,28th July - 20th August 2017,W6 0QA,"Lyric Square, 2 King Street","
Fantastic Mr Fox ",2017
227,Saturday 3rd August 2019,SW1A 2BJ,Horse Guards Road,"
Brompton World Championship Final ",2017
228,29th July 2017,SE10 0PE,1 Green Place,"
Corona SunSets Festival ",2017
229,29th - 30th July 2017,E8 3PE,Martello Road,"
The Playground ",2017
230,30th July - 26th August 2018,WC2N 5DW,London,"
Camden Fringe ",2017
231,11th to 28th July 2019,WC2R 1LA,Strand,"
The World Illustration Awards ",2017
232,30th July - 26th August 2018,WC2N 5DW,London,"
Camden Fringe ",2017
233,01st - 05th August 2017,SE1 8XX,Belvedere Road,"
English National Ballet: Romeo and Juliet ",2017
234,1st to 31st August 2019,WC2H 7BP,London,"
Kids Week ",2017
235,01st August 2017,W1F 0RU,Brewer Street,"
A Battle of the Bubbles: English Sparkling vs French Champagne ",2017
236,01st - 24th August 2017,SE1 8XX,"Jubilee Gardens, Belvedere Road","
Jungle Book ",2017
237,01st - 06th August 2017,SE16 2UA,Lower Road,"
Tales From The Arabian Nights ",2017
238,01st - 02nd August 2017,WC2N 6PB,"Victoria Embankment, Villiers Street","
The Luna Cinema: Victoria Embankment Gardens: The Princess Bride ",2017
239,02nd August - 07th October 2017,W1W 8DX,46 Eastcastle Street,"
Indian Treasures ",2017
240,03rd - 06th August 2017,OX20 1PP,Woodstock,"
BBC Countryfile Live ",2017
241,04th - 05th August 2017,SE1 2AA ,"City Hall, 110 The Queens Walk","
London Beach Rugby ",2017
242,"9th, 10th and 11th August 2019",E1W 2SF,50 Porters Walk,"
London Craft Beer Festival ",2017
243,04th August - 02nd September 2017,WC2H 0HH,2 Charing Cross Road,"
Horrible Histories: More Best of Barmy Britain ",2017
244,10th - 12th August 2018,W6 0SL,Ravenscourt Avenue,"
Pop Up Screens, Ravenscourt Park ",2017
245,Saturday 20th and Sunday 21st July 2019,TW9 3AB,"Kew, Richmond","
Kew Science Festival ",2017
246,30th March - 29th April 2018,SE1 3UD,London Bridge Walk,"
Travel Photographer of the Year ",2017
247,04th August - 30th September 2017,W1S 3PR,"20 Savile Row, Mayfair","
Sorrento Terrace at Sartoria ",2017
248,05th August - 12th November 2017,W1J 0BD,Burlington House,"
Matisse in the Studio ",2017
249,04th August 2018,EC2M 7QH,Walthamstow,"
Visions Festival ",2017
250,04th - 05th August 2018,E15 2EE,Olympic Park,"
London Wing Fest ",2017
251,05th August 2017,SW8 1RT,6a South Lambeth Place,"
The London Rum & Reggae Experience ",2017
252,07th - 12th August 2017,TW9 1QJ,"The Green, Surrey","
Wonderland ",2017
253,08th - 12th August 2017,W14 8UX,Hammersmith Road,"
The Great British Beer Festival ",2017
254,10th August - 14th October 2017,SE1 9DT,"21 New Globe Walk, Bankside","
King Lear ",2017
255,8th to 21st August 2019,WC2R 1LA,Strand,"
Film4 Summer Screen at Somerset House ",2017
256,10th August 2017,SE1 8XX,Belvedere Road,"
Tero Saarinen Company: Morphed ",2017
257,4th July to 24th August 2019,EC2Y 8DS,Silk Street,"
Jesus Christ Superstar ",2017
258,11th - 28th August 2017,SE1 9PX,South Bank,"
The Majority ",2017
259,03rd - 05th August 2018,WC1N 1DN,93 Guilford Street,"
Pop Up Screens, Coram's Fields ",2017
260,12th August - 30th September 2017,N1 1TA,Almeida Street,"
Against ",2017
261,12th August 2017,SE24 0PA,Norwood Road,"
Sunfall ",2017
262,13th - 16th August 2017,SE1 8XX,Belvedere Road,"
Cirkus Cirkor: Limits ",2017
263,15th - 16th August 2018,SW1P 3PA,Dean's Yard,"
The Luna Cinema: Westminster Abbey ",2017
264,17th August - 07th October 2017,WC2H 9LD,"41 Earlham Street, Seven Dials","
Knives in Hens ",2017
265,18th - 20th August 2017,SE1 8XX,Belvedere Road,"
Iceland Dance Company: Sacrifice ",2017
266,18th - 20th August 2017,SE11 4BU,"Kennington Park Road, St. Agnes Place","
Pop Up Screens, Kennington Park ",2017
267,18th - 19th August 2017,N1C 4UZ,York Way,"
KERB: Livin' On The Veg ",2017
268,19th August 2017,WC2H 9DD,Monmouth Street,"
Spotlight Festival: Seven Dials ",2017
269,14th February to 6th May 2019,SE1 8XZ,South Bank,"
Follies ",2017
270,25th - 27th August 2017,E1W 2SF,50 Porters Walk,"
Gin Festival ",2017
271,25th - 28th August 2017,N22 7AY,"Alexandra Palace Way, Wood Green","
The Beast ",2017
272,25th - 26th August 2018,SW4 9DE,Windmill Drive,"
South West Four ",2017
273,26th - 28th August 2017,N22 7AY,"Alexandra Palace Way, Wood Green","
Foodies Festival, Alexandra Palace ",2017
274,26th - 28th August 2017,KT8 9AU,"East Molesey, Surrey","
BBC Good Food Festival ",2017
275,Saturday 24th and Sunday 25th August 2019,W11 3AG,London,"
Notting Hill Carnival ",2017
276,28th August 2017,SW4 9DE,Windmill Drive,"
House of Common ",2017
277,29th August - 17th February 2018,W1C 1CX,Marble Arch,"
Five Guys Named Moe ",2017
278,31st August 2017,N1 9NL,275 Pentonville Road,"
The Jump Off ",2017
279,31st August - 02nd September 2018,E1W 2SF,50 Porters Walk,"
Meatopia ",2017
280,01st - 23rd September 2017,WC1E 7JN,Malet Street,"
Hamlet ",2017
281,03rd September 2017,N1 8GJ,London,"
Angel Canal Festival ",2017
282,04th September - 04th November 2017,W1D 7ES,Shaftesbury Avenue,"
The Simon & Garfunkel Story ",2017
283,04th - 09th September 2017,TW9 1QJ,"The Green, Surrey","
Wait Until Dark ",2017
284,05th - 23rd September 2017,SE1 9PX,South Bank,"
Oslo ",2017
285,05th - 23rd September 2017,WC2H 7JB,6-7 Great Newport Street,"
Waiting for Godot ",2017
286,06th September - 14th October 2017,NW3 3EU,Eton Avenue,"
Prism ",2017
287,07th September - 14th January 2018,NW1 2BE,183 Euston Road,"
Can Graphic Design Save Your Life? ",2017
288,07th - 09th September 2017,WC1N 1NP,Handel Street,"
Rosie Kay Dance Company: 5 SOLDIERS: The Body is the Frontline ",2017
289,08th September - 01st October 2017,SE1 9DT,"21 New Globe Walk, Bankside","
Boudica ",2017
290,Saturday 14th September 2019,WC2H 7BP,London,"
The Great River Race ",2017
291,Saturday 13th and Sunday 14th July 2019,SE3 0UA,Shooters Hill Road,"
OnBlackheath 2017 ",2017
292,09th September - 06th January 2018,WC2N 4BG,St Martins Lane,"
Ink ",2017
293,11th September - 10th October 2017,WC2E 9DD,Bow Street,"
Royal Opera: La Boheme ",2017
294,12th September - 21st January 2018,SW1P 4RG,Millbank,"
Rachel Whiteread ",2017
295,12th September - 14th October 2017,WC2E 9DD,Bow Street,"
Royal Opera: Die Zauberflote ",2017
296,12th - 16th September 2017,EC1R 4TN,Rosebery Avenue,"
Hofesh Shechter: Grand Finale ",2017
297,14th September - 28th October 2017,SE1 8LZ,66 The Cut,"
Wings ",2017
298,14th September - 14th January 2018,WC1B 3DG,Great Russell Street,"
Scythians: Warriors of Ancient Siberia ",2017
299,15th September - 02nd December 2017,WC2N 4AU,St Martin's Lane,"
Labour Of Love ",2017
300,15th - 23rd September 2018,WC2N 5DW,London,"
The London Design Festival ",2017
301,16th - 24th September 2017,EC2A 2BQ,Broadgate,"
Villa Walala ",2017
302,Various Venues,WC2N 5DW,London,"
Open House London ",2017
303,24th October 2018 to 5th May 2019,SE10 9NF,"National Maritime Museum, Greenwich","
Astronomy Photographer Of The Year ",2017
304,16th - 19th September 2018,TW8 8JF,"London Road, Brentford","
Decorex International ",2017
305,18th - 24th September 2017,WC2R 1LA,Strand,"
Design Frontiers ",2017
306,20th September - 21st October 2017,W12 8LJ,7 Uxbridge Road,"
Ramona Tells Jim ",2017
307,19th - 22nd September 2018,W14 8UX,Hammersmith Road,"
100% Design 2017 ",2017
308,20th September - 07th May 2018,WC2N 5DN,Trafalgar Square,"
Drawn in Colour: Degas at the Burrell Collection ",2017
309,20th - 23rd September 2017,EC1R 4TN,Rosebery Avenue,"
English National Ballet: Akram Khan's Giselle ",2017
310,26th September - 07th October 2018,SW1Y 4LR,19 Lower Regent Street,"
Raindance Film Festival ",2017
311,21st September - 28th January 2018,EC2 8DS,Silk Street,"
Basquiat: Boom for Real ",2017
312,21st - 24th September 2017,N1C 4AA,Good's Way,"
DesignJunction ",2017
313,22nd September - 10th February 2018,N1C 4BH,2 Granary Square,"
Gerald Scarfe: Stage and Screen ",2017
314,22nd - 24th September 2017,N1 2UN,Compton Terrace,"
Fever Pitch: The Opera ",2017
315,22nd - 24th September 2017,EC3N 4AB,Tower Hill,"
BBC Good Food's Feast ",2017
316,23rd September - 10th December 2017,W1J 0BD,Burlington House,"
Jasper Johns ",2017
317,Sunday 15th September 2019,SW11 4NJ,"Albert Bridge Road, Battersea Park","
Wanderlust 108 ",2017
318,26th September - 21st October 2017,SE1 9PX,South Bank,"
Jane Eyre ",2017
319,26th - 30th September 2017,TW9 1QJ,"The Green, Surrey","
The Wipers Times ",2017
320,26th September - 05th November 2017,WC2N 5DW,London,"
Kabeiroi ",2017
321,27th September 2017,N22 7AY,"Alexandra Palace Way, Wood Green","
Lorde ",2017
322,27th September - 28th October 2017,E1 8JB,"Graces Alley, Off Ensign Street","
The Terrible Infants ",2017
323,27th September - 28th October 2017,WC2E 9DD,Bow Street,"
The Royal Ballet: Alice's Adventures in Wonderland ",2017
324,27th - 30th September 2017,EC1R 4TN,Rosebery Avenue,"
Acosta Danza ",2017
325,28th September - 25th August 2018,WC2H 0HH,2 Charing Cross Road,"
Young Frankenstein ",2017
326,28th - 29th September 2017,EC1R 4TN,Rosebery Avenue,"
On The Habit Of Being Oneself ",2017
327,28th - 30th September 2018,WC2N 5DW,London,"
Barnes Film Festival ",2017
328,29th September - 21st October 2017,SE1 8LZ,66 The Cut,"
My Name is Rachel Corrie ",2017
329,29th September - 05th October 2017,EC2Y 8DS,Silk Street,"
The Grime and the Glamour: NYC 1976-90 ",2017
330,30th September - 25th February 2018,SW7 2RL,Cromwell Road,"
Opera: Passion, Power and Politics ",2017
331,30th September - 22nd October 2017,NW1 8AH,"The Stables Market, Chalk Farm Road, Camden","
Oktoberfest at Proud Camden ",2017
332,01st - 31st October 2018,WC2N 5DW,London,"
London Restaurant Festival ",2017
333,01st - 07th October 2018,W1J 5AX,"Berkeley Square, Mayfair","
PAD London Art Fair ",2017
334,02nd - 14th October 2017,KT1 1HL,"24-26 High Street, Kingston upon Thames","
The Real Thing ",2017
335,01st - 07th October 2018,E1 6QL,91 Brick Lane,"
London Cocktail Week ",2017
336,02nd October - 30th December 2017,SW1Y 4DN,6 Panton Street,"
Oslo ",2017
337,03rd October - 02nd April 2018,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
The Hyundai Commission: SUPERFLEX ",2017
338,03rd October - 06th January 2018,WC2H 0DA,Charing Cross Road,"
Heisenberg: The Uncertainty Principle ",2017
339,04th October - 14th January 2018,SE1 7NN,10 Leake Street,"
Hair The Musical ",2017
340,04th October - 02nd April 2018,WC2N 5DN,Trafalgar Square,"
Reflections: Van Eyck and the Pre-Raphaelites ",2017
341,10th - 21st October 2018,SE1 8XT,"Belvedere Road, South Bank","
BFI London Film Festival ",2017
342,04th October - 02nd December 2017,SE1 8XZ,South Bank,"
Saint George And The Dragon ",2017
343,04th October - 31st March 2018,SW7 2DD,Exhibition Road,"
Illuminating India ",2017
344,04th - 07th October 2018,E1 6QL,91 Brick Lane,"
Moniker Art Fair ",2017
345,27th September - 28th October 2018,E15 2EE,Olympic Park,"
Erdinger Oktoberfest ",2017
346,05th - 08th October 2017,WC2R 1LA,Strand,"
1:54 Contemporary African Art Fair ",2017
347,05th October - 07th January 2018,WC2R 1LA,Strand,"
Hassan Hajjaj: La Caravane ",2017
348,05th October - 07th January 2018,EC2Y 8DS,Silk Street,"
John Akomfrah: Purple ",2017
349,03rd - 07th October 2018,NW1 4NR,Inner Circle,"
Frieze Art Fair ",2017
350,04th - 07th October 2018,WC1B 4DA,Bloomsbury Square,"
The Other Art Fair October 2017 ",2017
351,05th October - 14th November 2017,SE1 9PX,South Bank,"
Beginning ",2017
352,05th - 07th October 2018,E16 1XL,"One Western Gateway, Royal Victoria Dock","
The Cake and Bake Show ",2017
353,06th October - 09th December 2017,SW1Y 4HT,Haymarket,"
Venus In Fur ",2017
354,06th October - 14th January 2018,SE1 7NN,10 Leake Street,"
Beauty And The Feast ",2017
355,07th October - 03rd January 2018,W1J 0BD,Burlington House,"
Dali/Duchamp ",2017
356,14th October 2018,W2 2UH,Rangers Lodge,"
Royal Parks Half Marathon ",2017
357,10th October - 04th November 2017,E8 3DL,"24 Ashwin Street, Dalston","
All The Little Lights ",2017
358,12th October - 04th November 2017,WC2E 9DD,Bow Street,"
Les Vepres Siciliennes ",2017
359,18th - 28th October 2018,SE1 8XX,Belvedere Road,"
London Literature Festival ",2017
360,13th - 15th October 2017,W14 8UX,Hammersmith Road,"
The Chocolate Show ",2017
361,15th October - 05th November 2017,SE1 8NB,103 The Cut,"
Dr Seuss's The Lorax ",2017
362,18th October - 25th November 2017,W12 8LJ,7 Uxbridge Road,"
Of Kith And Kin ",2017
363,18th October - 31st December 2017,SE1 2SG,3 Potters Fields Park,"
Young Marx ",2017
364,18th October - 18th February 2018,W8 6AG,224-238 Kensington High Street,"
Designs of the Year 2017 ",2017
365,18th October - 01st November 2017,WC2E 9DD,Bow Street,"
Kenneth MacMillan: A National Celebration ",2017
366,17th - 21st October 2018,WC1N 1NX,Bloomsbury,"
Bloomsbury Festival ",2017
367,18th - 21st October 2018,SW11 4NJ,Battersea Park,"
Affordable Art Fair Battersea ",2017
368,16th - 25th November 2017,E8 1NH,London,"
Pilgrim Supper Club ",2017
369,19th - 22nd October 2017,NW1 4AQ,1 Marylebone Road,"
Made London - The Design and Craft Fair ",2017
370,19th October - 21st January 2018,WC2R 1LA,"Somerset House, Strand","
Soutine's Portraits: Cooks, Waiters And Bellboys ",2017
371,19th - 21st October 2017,E2 9DY,29-32 The Oval,"
Oktoberfest East ",2017
372,18th - 19th October 2018,EC3R 6DX,"1 Old Billingsgate Walk, 16 Lower Thames Street","
London Bierfest ",2017
373,20th October - 28th February 2018,NW1 2DB,96 Euston Road,"
Harry Potter: A History of Magic ",2017
374,20th - 22nd October 2017,N22 7AY,"Alexandra Palace Way, Wood Green","
OM Yoga Show ",2017
375,18th October - 28th January 2018,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
Ilya and Emilia Kabakov ",2017
376,06th - 22nd April 2019,SW7 2DD,Exhibition Road,"
Power UP ",2017
377,19th October 2018 to 8th September 2019,SW7 5BD,Cromwell Road,"
Wildlife Photographer of the Year 2017 ",2017
378,24th October - 04th November 2017,E15 1BN,Gerry Raffles Square,"
Reasons To Be Cheerful ",2017
379,25th October - 28th January 2018,SE21 7AD,"Gallery Road, Dulwich Village","
Tove Jansson ",2017
380,25th October - 12th November 2017,SE1 6DR,42 Newington Causeway,"
Backyard Cinema: Snow Kingdom ",2017
381,26th October - 11th February 2018,WC2H 0HE,St Martin's Place,"
Cezanne Portraits ",2017
382,25th October - 06th January 2019,SW7 5BD,Cromwell Road,"
Natural History Museum Ice Rink ",2017
383,26th October - 28th May 2018,SE1 6HZ,"Lambeth Road, Elephant and Castle","
Age of Terror: Art Since 9/11 ",2017
384,25th - 28th October 2018,SW11 4NJ,Battersea Park,"
The Ski & Snowboard Show London ",2017
385,25th October - 30th March 2018,EC2A 3JX,1-5 Curtain Road,"
The Queen of Hoxton Winter Rooftop: The Moroccan Medina ",2017
386,28th October - 11th February 2018,N1C 4BH,2 Granary Square,"
Lucinda Rogers: On Gentrification ",2017
387,29th October 2017,SW1Y 4HT,Haymarket,"
Cookies ",2017
388,30th October - 18th February 2018,WC2N 5DN,Trafalgar Square,"
Monochrome: Painting in Black and White ",2017
389,30th October - 27th November 2017,WC2E 9DD,Bow Street,"
Lucia Di Lammermoor ",2017
390,31st October - 02nd November 2017,EC1R 4TN,Rosebery Avenue,"
Birmingham Royal Ballet: Aladdin ",2017
0,01st March - 06th May 2018,EC1V 3SB,London,"
SOMNAI ",2018
1,01st March 2018,SW9 9SL,211 Stockwell Road,"
Morrissey ",2018
2,01st March - 20th May 2018,WC2H 0HE,St Martin's Place,"
Victorian Giants: The Birth Of Art Photography ",2018
3,02nd March - 09th September 2018,SW1Y 4RL,63-65 Haymarket,"
Brief Encounter ",2018
4,02nd March - 05th May 2018,SE1 8LZ,66 The Cut,"
The Inheritance ",2018
5,02nd - 03rd March 2018,HA9 0DH,"Arena Square, Engineers Way","
Stereophonics ",2018
6,03rd March 2018,SE10 0BB,Peninsula Square,"
Paul Weller ",2018
7,04th March 2018,SE1 2UP,Tower Bridge Road,"
The Big Half ",2018
8,05th - 10th March 2018,TW9 1QJ,"The Green, Surrey","
Some Mothers Do 'Ave 'Em ",2018
9,06th - 17th March 2018,W11 3LB,103 Notting Hill Gate,"
Russell Maliphant: maliphantworks2 ",2018
10,07th March 2018,SE10 0BB,Peninsula Square,"
Elbow ",2018
11,08th - 09th March 2019,SE1 8XX,Belvedere Road,"
Women of the World Festival ",2018
12,08th March - 09th September 2018,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
Picasso 1932: Love, Fame, Tragedy ",2018
13,08th March 2018,N22 7AY,"Alexandra Palace Way, Wood Green","
Rag 'n' Bone Man ",2018
14,08th March - 27th August 2018,NW1 2BE,183 Euston Road,"
Somewhere In Between ",2018
15,07th - 10th March 2019,SW11 4NJ,Battersea Park,"
Affordable Art Fair Battersea Spring 2018 ",2018
16,09th - 11th March 2018,SE10 0BB,Peninsula Square,"
C2C: Country To Country ",2018
17,10th March 2018,N22 7AY,"Alexandra Palace Way, Wood Green","
Everything Everything ",2018
18,10th March - 14th April 2018,SE1 9PX,South Bank,"
The Great Wave ",2018
19,12th March - 21st April 2018,NW3 3EU,Eton Avenue,"
Caroline, Or Change ",2018
20,12th March 2018,EC2N 4AY,"40th Floor, Heron Tower, 110 Bishopsgate","
Action Against Hunger: Moveable Feast - The City ",2018
21,14th March 2018,SE10 0BB,Peninsula Square,"
Paloma Faith ",2018
22,14th March - 05th August 2018,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
Joan Jonas ",2018
23,15th - 17th March 2018,EC2Y 8DS,Silk Street,"
Ballet Black: Double Bill ",2018
24,15th March - 28th April 2018,WC2H 0HE,St Martin's Place,"
Tacita Dean: Portrait ",2018
25,16th March - 20th October 2018,W1D 7DY,16 Denman Street,"
Strictly Ballroom The Musical ",2018
26,16th March - 25th April 2018,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
BMW Tate Live Exhibition: Ten Days Six Nights ",2018
27,18th March 2018,WC2N 5DS,Central London,"
St Patrick's Day Parade and Festival ",2018
28,19th - 20th March 2018,W6 9QH,45 Queen Caroline Street,"
Flight Of The Conchords ",2018
29,21st March - 26th May 2018,W1W 8DX,46 Eastcastle Street,"
Red, Blue, White: Global Colours ",2018
30,21st March 2018 to 21st December 2019,WC2B 4DF,Aldwych,"
Tina ",2018
31,21st March - 02nd August 2018,SE1 6DR,42 Newington Causeway,"
Backyard Cinema: Mission to Mars ",2018
32,21st March - 08th July 2018,XX1 0LL,Central London,"
Secret Cinema Presents Blade Runner - The Final Cut ",2018
33,21st - 22nd March 2018,EC1R 4TN,Rosebery Avenue,"
Fabrizio Cassol & Alain Platel: Requiem pour L. ",2018
34,21st March - 24th June 2018,SW3 4SQ,"Duke of York's Square, King's Road","
Known Unknowns ",2018
35,22nd March - 07th October 2018,SW1P 4RG,Millbank,"
Tate Britain Commission: Anthea Hamilton ",2018
36,23rd March - 30th September 2018,SE10 9NF,Park Row,"
The Great British Seaside: Photography from the 1960s ",2018
37,23rd - 25th March 2018,HA9 0DH,"Arena Square, Engineers Way","
Dancing On Ice ",2018
38,07th April 2019,SW6 3JD,Between Fulham and Putney,"
Oxford v Cambridge Boat Races ",2018
39,07th April 2019,E1 5AR,Buxton Street,"
Oxford vs Cambridge Goat Race ",2018
40,24th March - 06th October 2018,E1 6HU,163-175 Shoreditch High Street,"
Urban Food Fest ",2018
41,25th March 2018,SW1A 2AA,Downing Street,"
London Landmarks Half Marathon ",2018
42,26th - 28th March 2018,EC1R 4TN,Rosebery Avenue,"
Sutra ",2018
43,26th March - 05th January 2019,WC2H 0JP,Charing Cross Road,"
Chicago ",2018
44,27th - 29th March 2018,SW7 2AP,Kensington Gore,"
Steven Wilson ",2018
45,28th March - 12th August 2018,W8 6AG,224-238 Kensington High Street,"
Hope to Nope: Graphics and Politics 2008-2018 ",2018
46,28th March - 28th April 2018,N4 3JP,11 Clifton Terrace,"
Pressure ",2018
47,29th March - 26th May 2018,WC2H 9LD,"41 Earlham Street, Seven Dials","
The Way Of The World ",2018
48,29th March - 07th April 2018,WC2A 2HT,Portugal Street,"
English National Ballet: My First Ballet: Swan Lake ",2018
49,30th - 31st March 2018,EC1R 4TN,Rosebery Avenue,"
balletLORENT: Rumpelstiltskin ",2018
50,19th - 20th April 2019,EC1R 4TN,Rosebery Avenue,"
Sadler's Wells Family Weekend ",2018
51,19th April 2019,WC2N 5DS,Central London,"
The Passion of Jesus ",2018
52,30th March - 15th April 2018,TW9 3AB,"Kew, Richmond","
A Big Day Out With Peter Rabbit ",2018
53,30th March - 29th April 2018,SE1 3UD,London Bridge Walk,"
Travel Photographer of the Year ",2018
54,19th April 2019,N22 7AY,"Alexandra Palace Way, Wood Green","
Springfest German Bier Festival ",2018
55,31st March - 16th June 2018,WC2N 4AU,St Martin's Lane,"
Quiz ",2018
56,31st March 2018,E1W 2SF,50 Porters Walk,"
Hot Since 82 presents Labyrinth ",2018
